Label,Sample,Side,Scan,Ra,Rms,unk1,unk2,unk3,Power (C1),Scan Speed (C1),Power (C2),Scan Speed (C2),Power (Fill),Scan Speed (Fill),Layer Thickness,Build Orientation,Scan Strategy,Spot Size,Stress Mean,Stress ratio,Fatigue life
,,,,(um),(um),,,,(W),(mm/s),(W),(mm/s),(W),(mm/s),(um),(°),-,(um),MPa,R,(cycles)
P5,C,1,3,19.43,26.28,0.0035,0.5795,77.04,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
P5,C,2,1,22.04,30.5,0.0034,0.5151,84.671,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
P5,C,2,2,23.34,32.29,0.0034,0.4981,107.6,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
P5,C,2,3,22.39,30.06,0.0034,0.5162,75.713,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
P5,C,3,1,34.9,49.77,0.0035,0.3355,161.64,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
P5,C,4,1,33.03,42.2,0.0037,0.5199,197.27,115,625,115,625,275,915,30,0,C1-C2-Fill,50,330,0.1,38063
P6,A,1,1,12.69,20.1,0.0045,0.4851,114.39,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,A,1,2,16.06,23.33,0.0043,0.4731,64.41,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,A,1,3,16.56,23.74,0.0045,0.4398,70.35,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,A,2,1,23.52,32.09,0.004,0.401,98.27,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,A,2,2,22.76,29.84,0.004,0.4141,86.6,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,A,2,3,23.61,30.51,0.0041,0.4103,78.58,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,A,3,1,21.34,29.11,0.0041,0.4442,78.45,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,A,4,1,-,-,-,-,-,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,82872
P6,B,1,1,15.9,23.26,0.0044,0.4804,87.16,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,B,1,2,13.48,19.24,0.0047,0.5034,55.5,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,B,1,3,13.58,20.48,0.0046,0.5193,77.02,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,B,2,1,24.05,32.34,0.004,0.3911,104.78,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,B,2,2,27.96,38.69,0.0038,0.3584,147.2,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,B,2,3,22.74,30.04,0.0041,0.4186,88.41,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,B,3,1,17.98,26.91,0.004,0.456,112.94,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,B,4,1,-,-,-,-,-,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,87385
P6,C,1,1,15.32,22.79,0.0045,0.4873,89.85,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P6,C,1,2,-,-,-,-,-,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P6,C,1,3,13.129,20.146,0.00452,0.53038,79.167,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P6,C,2,1,22.965,30.105,0.0043397,0.39171,86.831,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P6,C,2,2,24.84,33.062,0.004187,0.37614,96.816,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P6,C,2,3,26.816,35.884,0.0040318,0.35876,116.43,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P6,C,3,1,16.915,24.156,0.0043515,0.47516,78.449,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P6,C,4,1,-,-,-,-,-,115,625,115,625,115,915,30,45,C1-C2-Fill,50,330,0.1,79070
P7,A,1,1,11.8,17.25,0.0051,0.5495,48.33,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,A,1,2,15.36,23.72,0.0044,0.4549,117.6,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,A,1,3,13.69,20.32,0.0046,0.5228,83.45,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,A,2,1,27.26,33.98,0.004,0.4131,84.43,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,A,2,2,28.77,37.39,0.0039,0.3734,97.52,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,A,2,3,24.74,33.38,0.004,0.397,100.2,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,A,3,1,20.02,27.44,0.0042,0.4319,92.89,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,A,4,1,-,-,-,-,-,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,149770
P7,B,1,1,10.23,14.62,0.0054,0.5914,54.09,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,B,1,2,14.87,22.77,0.0043,0.487,107.09,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,B,1,3,13.67,22.47,0.0042,0.5005,142.15,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,B,2,1,28.38,39,0.0038,0.3541,136.26,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,B,2,2,29.24,39.25,0.0037,0.3708,134.84,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,B,2,3,26.11,34.12,0.0043,0.3839,104.07,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,B,3,1,19.11,27.63,0.004,0.4433,109.5,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,B,4,1,-,-,-,-,-,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,129325
P7,C,1,1,16.4,25.94,0.0042,0.4773,106.51,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P7,C,1,2,17.47,27.12,0.0042,0.4348,96.21,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P7,C,1,3,19.84,29.05,0.0043,0.4286,101.21,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P7,C,2,1,26.3,35.75,0.004,0.3702,133.46,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P7,C,2,2,29.39,40.72,0.0037,0.3477,150.63,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P7,C,2,3,24.77,31.63,0.0041,0.4097,67.27,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P7,C,3,1,23.56,34.82,0.0038,0.4112,128.13,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P7,C,4,1,-,-,-,-,-,115,625,115,625,330,1475,30,45,C1-C2-Fill,50,330,0.1,151953
P8,A,1,1,20.12,27.29,0.0044,0.4124,87.97,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,A,1,2,20.8,26.72,0.0042,0.4413,65.28,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,A,1,3,24.33,33.55,0.0042,0.3694,109.8,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,A,2,1,19.64,29.58,0.0041,0.4213,100.65,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,A,2,2,17.42,24.5,0.0044,0.4554,66.43,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,A,2,3,20.67,30.08,0.0041,0.4046,124.79,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,A,3,1,21.01,27.08,0.0044,0.4607,55.55,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,A,4,1,-,-,-,-,-,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,104825
P8,B,1,1,18.78,24.19,0.0044,0.461,62.08,115,625,115,625,168,1180,30,90,C1-C2-Fill,50,330,0.1,89963
